epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,280.086,2.38801,4.66598,1.57045,0.27091,0.06539,0.04788,0.01864,2.33036,4.51857,1.61161,0.000660606,0.000660606,0.000660606
2,705.397,2.40638,3.09185,1.57594,0.12195,0.01288,0.01163,0.00513,2.61839,3.40893,1.7292,0.00130099,0.00130099,0.00130099
3,1150.31,2.38601,2.49308,1.58626,0.24477,0.03433,0.02304,0.00844,2.49543,2.84063,1.71124,0.00191498,0.00191498,0.00191498
4,1608.66,2.35744,2.10263,1.60349,0.21976,0.03219,0.02243,0.0119,2.37057,2.28553,1.66053,0.0018812,0.0018812,0.0018812
5,2125.24,2.31258,1.95474,1.55494,0.19837,0.03648,0.03284,0.01453,2.37865,2.17605,1.65833,0.0018416,0.0018416,0.0018416
6,2644.61,2.3084,1.89453,1.55852,0.26201,0.05333,0.04634,0.01774,2.33758,1.99278,1.56758,0.001802,0.001802,0.001802
7,3156,2.23208,1.77866,1.50721,0.25466,0.03648,0.03711,0.01663,2.3561,1.99983,1.5992,0.0017624,0.0017624,0.0017624
8,3721.94,2.19534,1.70668,1.50109,0.11403,0.02293,0.01875,0.00865,2.28521,1.91724,1.58219,0.0017228,0.0017228,0.0017228
9,4290.91,2.21729,1.72736,1.50518,0.35369,0.07082,0.07468,0.0289,2.31692,1.73971,1.59535,0.0016832,0.0016832,0.0016832
10,4829.27,2.14627,1.64532,1.46196,0.27195,0.08369,0.07289,0.02583,2.17664,1.68308,1.5491,0.0016436,0.0016436,0.0016436
11,5437.6,2.13296,1.61532,1.4543,0.26904,0.12661,0.09386,0.03743,2.27082,1.6953,1.52281,0.001604,0.001604,0.001604
12,5889.23,2.07639,1.57195,1.40671,0.2888,0.14378,0.10999,0.05053,2.16918,1.50023,1.48969,0.0015644,0.0015644,0.0015644
13,6369.47,2.11763,1.55474,1.4448,0.37346,0.16094,0.15102,0.06903,2.1471,1.59792,1.42017,0.0015248,0.0015248,0.0015248
14,6809.71,2.03633,1.45563,1.38088,0.49353,0.21888,0.21802,0.09383,2.02913,1.41379,1.4296,0.0014852,0.0014852,0.0014852
15,7237.04,2.01802,1.4492,1.386,0.59837,0.18884,0.19025,0.07415,2.15409,1.48684,1.49208,0.0014456,0.0014456,0.0014456
16,7730.34,2.01163,1.42665,1.3773,0.48438,0.22961,0.23557,0.10518,2.10995,1.42817,1.44253,0.001406,0.001406,0.001406
17,8141.4,2.01425,1.40168,1.37285,0.52742,0.22747,0.21421,0.08928,2.05546,1.37777,1.42577,0.0013664,0.0013664,0.0013664
18,8571.3,1.96697,1.39289,1.34755,0.50143,0.25751,0.26507,0.11753,2.04727,1.42896,1.39402,0.0013268,0.0013268,0.0013268
19,9069.6,1.945,1.33778,1.35359,0.64017,0.20234,0.23235,0.10868,2.0684,1.30534,1.41546,0.0012872,0.0012872,0.0012872
20,9559.65,1.95664,1.35694,1.36122,0.61783,0.19957,0.20703,0.10197,1.9845,1.29596,1.39637,0.0012476,0.0012476,0.0012476
21,10101.4,1.91797,1.30457,1.34213,0.49454,0.19316,0.19552,0.08132,2.08239,1.34109,1.44704,0.001208,0.001208,0.001208
22,10570.2,1.94055,1.28534,1.32123,0.51745,0.17597,0.1663,0.06543,2.0873,1.34013,1.47176,0.0011684,0.0011684,0.0011684
23,11061.8,1.9117,1.2963,1.31177,0.48212,0.16738,0.15334,0.06792,2.04208,1.33217,1.42052,0.0011288,0.0011288,0.0011288
24,11482.7,1.88016,1.27749,1.29905,0.68073,0.24707,0.26557,0.12095,2.00027,1.21202,1.39917,0.0010892,0.0010892,0.0010892
25,11861.9,1.92478,1.2592,1.30828,0.53206,0.21674,0.22109,0.10139,2.07028,1.25324,1.42609,0.0010496,0.0010496,0.0010496
26,12258,1.8434,1.22459,1.28969,0.44971,0.22747,0.19837,0.09064,2.0051,1.20148,1.39992,0.00101,0.00101,0.00101
27,12668.4,1.85361,1.22529,1.28871,0.47001,0.18884,0.19296,0.08615,2.09513,1.3931,1.43117,0.0009704,0.0009704,0.0009704
28,13032.5,1.90454,1.22182,1.29918,0.58605,0.2157,0.21893,0.09638,2.00352,1.25566,1.39714,0.0009308,0.0009308,0.0009308
29,13409.5,1.81394,1.16523,1.25635,0.65875,0.21888,0.2243,0.10609,1.97966,1.17128,1.35296,0.0008912,0.0008912,0.0008912
30,13816.6,1.82526,1.17426,1.27296,0.63581,0.22103,0.21992,0.10457,2.0007,1.19637,1.37266,0.0008516,0.0008516,0.0008516
31,14242.7,1.81537,1.16344,1.27498,0.63845,0.21674,0.23259,0.09981,2.01854,1.1775,1.3806,0.000812,0.000812,0.000812
32,14624.1,1.79854,1.14106,1.25528,0.50799,0.18026,0.17266,0.07984,2.04664,1.33625,1.41627,0.0007724,0.0007724,0.0007724
33,14969.6,1.76324,1.11404,1.24545,0.69785,0.21888,0.24082,0.11261,1.95149,1.12686,1.36185,0.0007328,0.0007328,0.0007328
34,15332.7,1.79226,1.09864,1.23657,0.60971,0.22532,0.23034,0.10318,1.95585,1.10183,1.34617,0.0006932,0.0006932,0.0006932
35,15665.5,1.76863,1.09899,1.24028,0.63532,0.24034,0.24786,0.1169,1.95976,1.10456,1.36768,0.0006536,0.0006536,0.0006536
36,16048.4,1.73162,1.0774,1.21667,0.6482,0.19528,0.20082,0.08999,1.95021,1.10139,1.34422,0.000614,0.000614,0.000614
37,16406,1.76067,1.07972,1.23088,0.59036,0.23605,0.25569,0.11978,1.95095,1.09865,1.34811,0.0005744,0.0005744,0.0005744
38,16731.3,1.7357,1.05486,1.21355,0.66892,0.22318,0.23695,0.10774,1.94843,1.06948,1.33886,0.0005348,0.0005348,0.0005348
39,17025.8,1.72705,1.04386,1.20596,0.61433,0.25536,0.25894,0.12352,1.90182,1.06331,1.34055,0.0004952,0.0004952,0.0004952
40,17388.9,1.73952,1.05101,1.22015,0.63221,0.2287,0.23465,0.10873,1.89046,1.02664,1.32919,0.0004556,0.0004556,0.0004556
41,17775.9,1.72352,1.04273,1.23378,0.55468,0.22532,0.22442,0.10138,1.91515,1.08585,1.32063,0.000416,0.000416,0.000416
42,18072.1,1.69915,1.04383,1.21172,0.64942,0.23056,0.24091,0.11529,1.9055,1.04369,1.3324,0.0003764,0.0003764,0.0003764
43,18346.2,1.65708,0.99352,1.20978,0.67694,0.1867,0.19898,0.09311,1.90721,1.02391,1.32878,0.0003368,0.0003368,0.0003368
44,18647.1,1.66685,0.9894,1.21583,0.62711,0.26824,0.28969,0.13187,1.90345,1.00571,1.32988,0.0002972,0.0002972,0.0002972
45,18969.7,1.684,0.98192,1.21217,0.64305,0.23196,0.24796,0.12016,1.86375,0.99693,1.31599,0.0002576,0.0002576,0.0002576
46,19266.2,1.66308,0.96408,1.20768,0.60274,0.23391,0.24178,0.11871,1.85383,1.00499,1.30809,0.000218,0.000218,0.000218
47,19571.5,1.64161,0.94635,1.19264,0.64335,0.24678,0.26014,0.12226,1.84849,1.00463,1.30364,0.0001784,0.0001784,0.0001784
48,19878.6,1.62164,0.92342,1.18359,0.58428,0.29614,0.30093,0.1443,1.86133,0.99736,1.31386,0.0001388,0.0001388,0.0001388
49,20117.5,1.61611,0.91052,1.1783,0.6162,0.25751,0.26551,0.13291,1.84462,0.98949,1.30938,9.92e-05,9.92e-05,9.92e-05
50,20429.6,1.59089,0.90041,1.17663,0.61578,0.25966,0.26231,0.12565,1.84076,0.97781,1.30942,5.96e-05,5.96e-05,5.96e-05
