epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.216,1.93181,3.66016,1.57564,0.56888,0.40136,0.40245,0.15923,1.92238,2.6127,1.65098,0.00064,0.00064,0.00064
2,614.02,1.84904,1.81975,1.65582,0.35882,0.27791,0.21438,0.0823,2.32712,3.29288,2.20477,0.00127426,0.00127426,0.00127426
3,920.092,1.98037,1.71924,1.69731,0.15443,0.13605,0.07639,0.0334,2.7328,6.01285,2.56159,0.00188238,0.00188238,0.00188238
4,1227.43,1.91561,1.64023,1.65353,0.01456,0.04082,0.00633,0.00222,2.82645,8.2532,2.80881,0.0018812,0.0018812,0.0018812
5,1535.84,1.92597,1.6617,1.66311,0.40127,0.55782,0.49314,0.19469,1.88833,3.49291,1.78686,0.0018416,0.0018416,0.0018416
6,1841.82,1.82546,1.45281,1.60136,0.25996,0.35845,0.22336,0.06628,2.3859,4.03165,2.10664,0.001802,0.001802,0.001802
7,2148.81,1.79049,1.4086,1.60269,0.62153,0.59184,0.54068,0.22133,1.97061,1.91412,1.71217,0.0017624,0.0017624,0.0017624
8,2454.71,1.79422,1.39821,1.60301,0.61554,0.63172,0.61857,0.26642,1.88762,1.73671,1.77046,0.0017228,0.0017228,0.0017228
9,2759.8,1.74038,1.29674,1.52096,0.72899,0.67706,0.69925,0.2954,1.86558,1.54225,1.74478,0.0016832,0.0016832,0.0016832
10,3066.06,1.72014,1.35881,1.54422,0.68005,0.67958,0.69471,0.35609,1.72135,1.29896,1.59988,0.0016436,0.0016436,0.0016436
11,3372.73,1.70384,1.32089,1.50758,0.6556,0.55685,0.63694,0.30882,1.72842,1.54329,1.62649,0.001604,0.001604,0.001604
12,3678.84,1.73595,1.29239,1.56092,0.76331,0.61905,0.69743,0.32925,1.71251,1.54875,1.59861,0.0015644,0.0015644,0.0015644
13,3985.55,1.65567,1.21653,1.46186,0.71006,0.70068,0.75831,0.36584,1.84131,1.28922,1.65449,0.0015248,0.0015248,0.0015248
14,4290.58,1.65003,1.20441,1.47846,0.79019,0.69178,0.791,0.39575,1.70782,1.22614,1.55646,0.0014852,0.0014852,0.0014852
15,4595.49,1.58558,1.15659,1.40897,0.72959,0.70748,0.79458,0.39471,1.63622,1.19101,1.49413,0.0014456,0.0014456,0.0014456
16,4901.29,1.63924,1.23134,1.48437,0.58174,0.52381,0.50199,0.23866,2.03426,1.65217,1.78169,0.001406,0.001406,0.001406
17,5206.11,1.61477,1.10545,1.42465,0.76947,0.81746,0.84553,0.45028,1.57759,1.05573,1.48906,0.0013664,0.0013664,0.0013664
18,5512.3,1.56393,1.09434,1.42593,0.8542,0.75724,0.87547,0.43312,1.6127,1.06359,1.51932,0.0013268,0.0013268,0.0013268
19,5817.99,1.52881,1.06105,1.41095,0.84802,0.83673,0.90314,0.45209,1.61254,1.02516,1.52568,0.0012872,0.0012872,0.0012872
20,6123.66,1.55361,1.08468,1.41406,0.71274,0.7483,0.75684,0.36776,1.67006,1.1725,1.54241,0.0012476,0.0012476,0.0012476
21,6429.07,1.54859,1.08783,1.4236,0.82906,0.72789,0.83944,0.43499,1.61706,1.06923,1.50266,0.001208,0.001208,0.001208
22,6734.58,1.50192,1.00378,1.36875,0.86385,0.82011,0.88153,0.44893,1.6285,1.00866,1.48189,0.0011684,0.0011684,0.0011684
23,7039.68,1.55642,0.99707,1.40189,0.78179,0.88435,0.85686,0.43009,1.66882,1.00803,1.52809,0.0011288,0.0011288,0.0011288
24,7344.95,1.47884,1.00636,1.36765,0.82394,0.78231,0.86554,0.45541,1.6079,0.98888,1.47399,0.0010892,0.0010892,0.0010892
25,7650.59,1.46723,0.95843,1.34094,0.8225,0.85034,0.87442,0.47599,1.60637,0.98778,1.47951,0.0010496,0.0010496,0.0010496
26,7956.58,1.46165,0.98682,1.36342,0.76684,0.85714,0.8669,0.47368,1.6079,0.94274,1.46965,0.00101,0.00101,0.00101
27,8262.62,1.46311,0.9988,1.37046,0.78977,0.86395,0.89779,0.47773,1.55183,1.01723,1.4657,0.0009704,0.0009704,0.0009704
28,8568.42,1.44748,0.94733,1.34593,0.82429,0.76591,0.83593,0.43251,1.6627,1.0677,1.5253,0.0009308,0.0009308,0.0009308
29,8873.24,1.42989,0.94407,1.34251,0.7722,0.87631,0.8708,0.48656,1.52214,0.92879,1.4424,0.0008912,0.0008912,0.0008912
30,9178.82,1.3524,0.89209,1.29848,0.82575,0.82313,0.89856,0.47743,1.58799,0.98009,1.47556,0.0008516,0.0008516,0.0008516
31,9484.82,1.37476,0.88386,1.32255,0.84372,0.84469,0.89106,0.46565,1.62346,0.88875,1.46311,0.000812,0.000812,0.000812
32,9791.03,1.39638,0.89947,1.29893,0.87473,0.87075,0.92106,0.48108,1.55731,0.92532,1.45352,0.0007724,0.0007724,0.0007724
33,10096.9,1.37612,0.88364,1.30409,0.85433,0.91156,0.91502,0.4858,1.56683,0.91753,1.44387,0.0007328,0.0007328,0.0007328
34,10403.1,1.37076,0.85545,1.30456,0.78569,0.82993,0.88021,0.47981,1.58872,0.89259,1.46527,0.0006932,0.0006932,0.0006932
35,10709.2,1.36353,0.8569,1.29168,0.83857,0.88435,0.90433,0.49755,1.53075,0.86124,1.42953,0.0006536,0.0006536,0.0006536
36,11015.6,1.37115,0.86953,1.2694,0.87455,0.85367,0.91688,0.50503,1.53582,0.86361,1.44504,0.000614,0.000614,0.000614
