epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.018,2.38807,1.92322,1.54324,0.48923,0.21888,0.19914,0.07372,2.13588,1.53508,1.47765,0.000660606,0.000660606,0.000660606
2,548.203,2.10812,1.53284,1.41217,0.59216,0.35622,0.36674,0.1458,2.07452,1.46913,1.4323,0.00126157,0.00126157,0.00126157
3,808.628,2.05591,1.4504,1.39615,0.59771,0.42087,0.44958,0.19247,2.05861,1.38353,1.44715,0.00179654,0.00179654,0.00179654
4,1054.94,2.02964,1.41291,1.38806,0.58419,0.44206,0.44947,0.17715,2.09734,1.38534,1.42542,0.001703,0.001703,0.001703
5,1350.87,2.01797,1.39007,1.3721,0.60108,0.49472,0.49959,0.21195,1.99957,1.30863,1.40635,0.001604,0.001604,0.001604
6,1653.63,1.98383,1.32006,1.36394,0.6095,0.48069,0.49889,0.19712,2.026,1.26559,1.44408,0.001505,0.001505,0.001505
7,1934.25,1.90238,1.26218,1.31523,0.57645,0.48069,0.47461,0.19213,1.99471,1.22031,1.39062,0.001406,0.001406,0.001406
8,2229.45,1.87782,1.22899,1.30261,0.69591,0.5,0.54584,0.22564,1.97914,1.17979,1.39628,0.001307,0.001307,0.001307
9,2487.09,1.8859,1.22211,1.3091,0.65271,0.53238,0.56892,0.23373,1.9904,1.19594,1.39727,0.001208,0.001208,0.001208
10,2761.38,1.83819,1.17586,1.28387,0.67232,0.54721,0.59203,0.24987,1.92456,1.13827,1.36334,0.001109,0.001109,0.001109
11,3065.33,1.82947,1.16879,1.29484,0.68254,0.50429,0.56035,0.24331,1.95534,1.13791,1.36308,0.00101,0.00101,0.00101
12,3315.71,1.8325,1.137,1.30862,0.60853,0.56041,0.57327,0.2463,1.95327,1.13348,1.3653,0.000911,0.000911,0.000911
13,3561.95,1.80505,1.12872,1.29642,0.67304,0.57725,0.60291,0.26514,1.91474,1.10498,1.35207,0.000812,0.000812,0.000812
14,3787.8,1.77367,1.08738,1.28323,0.65884,0.56438,0.60616,0.27557,1.92343,1.06845,1.3473,0.000713,0.000713,0.000713
15,4007.21,1.78076,1.06361,1.2909,0.70588,0.58712,0.61569,0.27623,1.9191,1.08464,1.35539,0.000614,0.000614,0.000614
16,4223.19,1.7314,1.06405,1.2547,0.67005,0.61446,0.63989,0.28216,1.90085,1.04514,1.33922,0.000515,0.000515,0.000515
17,4415.06,1.73999,1.01249,1.26557,0.69029,0.57874,0.63829,0.28697,1.89747,1.0399,1.34499,0.000416,0.000416,0.000416
18,4625.54,1.71895,1.00528,1.24984,0.68263,0.59013,0.64461,0.29165,1.86627,1.02662,1.3356,0.000317,0.000317,0.000317
19,4828.94,1.68171,0.98227,1.22088,0.67962,0.56867,0.63556,0.28948,1.86905,1.03049,1.33338,0.000218,0.000218,0.000218
20,5021.8,1.65882,0.98235,1.22189,0.74527,0.5515,0.63696,0.29455,1.8515,1.01153,1.3261,0.000119,0.000119,0.000119
