epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.6436,2.04677,1.75411,1.67363,0.5857,0.41497,0.40933,0.21056,1.69841,1.20739,1.50362,0.00064,0.00064,0.00064
2,161.448,1.69901,1.21795,1.47117,0.76657,0.63265,0.64208,0.324,1.69893,1.03038,1.50356,0.00123565,0.00123565,0.00123565
3,224.46,1.61382,1.1345,1.39842,0.81944,0.76871,0.8365,0.4212,1.71203,1.05542,1.48542,0.00176596,0.00176596,0.00176596
4,313.449,1.57492,1.07731,1.42493,0.7842,0.71689,0.79732,0.40484,1.69278,1.06803,1.52137,0.001703,0.001703,0.001703
5,393.692,1.56347,1.0699,1.38488,0.78996,0.78231,0.85062,0.43674,1.60563,1.03166,1.44301,0.001604,0.001604,0.001604
6,475.958,1.57004,1.04639,1.38454,0.71897,0.83536,0.81934,0.42228,1.61602,1.0859,1.47406,0.001505,0.001505,0.001505
7,563.534,1.52025,1.02872,1.3818,0.7666,0.78204,0.83034,0.44516,1.59858,1.02151,1.40288,0.001406,0.001406,0.001406
8,644.501,1.43483,0.99672,1.32201,0.84876,0.84354,0.89891,0.47164,1.62687,0.97758,1.4802,0.001307,0.001307,0.001307
9,722.669,1.43015,0.94442,1.30167,0.84133,0.78912,0.88214,0.45409,1.61743,0.94509,1.46885,0.001208,0.001208,0.001208
10,812.675,1.45748,0.96601,1.34714,0.79865,0.83673,0.88336,0.50108,1.57256,0.91917,1.41384,0.001109,0.001109,0.001109
11,915.31,1.43251,0.87556,1.33732,0.88996,0.82529,0.89959,0.50348,1.56219,0.93499,1.43551,0.00101,0.00101,0.00101
12,993.202,1.42264,0.87139,1.33254,0.81787,0.91837,0.92586,0.50945,1.53758,0.88969,1.41555,0.000911,0.000911,0.000911
13,1067.83,1.41035,0.87823,1.32337,0.84157,0.86725,0.92979,0.52004,1.46198,0.86895,1.35937,0.000812,0.000812,0.000812
14,1166.3,1.34868,0.82538,1.26013,0.92342,0.89796,0.96081,0.51803,1.5165,0.84138,1.38696,0.000713,0.000713,0.000713
15,1257.49,1.37307,0.82985,1.28875,0.89752,0.83409,0.89891,0.50406,1.49904,0.80848,1.37618,0.000614,0.000614,0.000614
16,1356.85,1.31662,0.79682,1.2606,0.87224,0.91156,0.94792,0.52992,1.51309,0.80524,1.3758,0.000515,0.000515,0.000515
17,1463.26,1.3221,0.78238,1.25889,0.87454,0.90095,0.93877,0.5192,1.50761,0.79678,1.37343,0.000416,0.000416,0.000416
18,1560.04,1.30074,0.7582,1.25419,0.87557,0.91156,0.93831,0.53571,1.49549,0.78509,1.36425,0.000317,0.000317,0.000317
19,1657.39,1.27808,0.76019,1.22466,0.89276,0.89796,0.93729,0.54267,1.47238,0.78322,1.34929,0.000218,0.000218,0.000218
20,1746.34,1.22919,0.7429,1.23745,0.90641,0.88435,0.93908,0.53918,1.47826,0.78313,1.35424,0.000119,0.000119,0.000119
