epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8094.78,1.83832,3.07614,1.12175,0.41681,0.43455,0.36956,0.16755,1.7842,2.00805,1.07514,0.00333153,0.00333153,0.00333153
2,16261.9,1.77062,1.62834,1.08721,0.51506,0.51903,0.47105,0.22831,1.68569,1.62627,1.09222,0.0065329,0.0065329,0.0065329
3,24441.9,1.84462,1.59372,1.12635,0.44869,0.45738,0.37066,0.16777,1.84918,1.87274,1.18638,0.00960227,0.00960227,0.00960227
4,32553,1.80489,1.51548,1.12586,0.56563,0.58422,0.54359,0.26465,1.64384,1.49974,1.09281,0.009406,0.009406,0.009406
5,40661.3,1.70326,1.39977,1.09045,0.57785,0.57255,0.55909,0.28531,1.5554,1.40863,1.06654,0.009208,0.009208,0.009208
6,48774.7,1.62973,1.32343,1.06789,0.61736,0.59564,0.59149,0.32108,1.50647,1.34815,1.05497,0.00901,0.00901,0.00901
7,56889.1,1.6014,1.28485,1.06066,0.63521,0.60295,0.6061,0.33067,1.48172,1.34942,1.05557,0.008812,0.008812,0.008812
8,64991.3,1.55738,1.23768,1.04243,0.64296,0.63361,0.62624,0.348,1.43526,1.27909,1.0406,0.008614,0.008614,0.008614
9,73084.5,1.53272,1.20896,1.04066,0.6348,0.61466,0.61924,0.3514,1.37876,1.28713,1.02134,0.008416,0.008416,0.008416
10,81173.6,1.5031,1.17348,1.02895,0.65759,0.6451,0.6541,0.36738,1.40751,1.25851,1.03283,0.008218,0.008218,0.008218
11,89280.7,1.48153,1.15635,1.02434,0.65303,0.64739,0.64668,0.36787,1.37693,1.26355,1.03045,0.00802,0.00802,0.00802
12,97387.5,1.46223,1.13716,1.01876,0.63753,0.64105,0.63851,0.37248,1.33882,1.22213,1.01091,0.007822,0.007822,0.007822
13,105488,1.4536,1.13328,1.01645,0.65921,0.66491,0.66828,0.39363,1.30707,1.20738,0.99882,0.007624,0.007624,0.007624
14,113597,1.43506,1.10236,1.01254,0.66889,0.64866,0.65825,0.38327,1.31715,1.23441,1.00106,0.007426,0.007426,0.007426
15,121716,1.42292,1.0864,1.00768,0.65767,0.65018,0.65074,0.38424,1.30479,1.22344,0.99764,0.007228,0.007228,0.007228
16,129838,1.41318,1.07893,1.00427,0.65239,0.65939,0.66473,0.39489,1.28543,1.22587,0.98423,0.00703,0.00703,0.00703
17,137944,1.39885,1.06785,0.99859,0.66964,0.6517,0.67547,0.40474,1.26861,1.177,0.98641,0.006832,0.006832,0.006832
18,146044,1.38718,1.05028,0.99519,0.65236,0.66667,0.67228,0.408,1.25451,1.149,0.97767,0.006634,0.006634,0.006634
19,154136,1.38211,1.04344,0.99274,0.66846,0.65855,0.67094,0.40462,1.24039,1.18273,0.97889,0.006436,0.006436,0.006436
20,162217,1.37039,1.02284,0.98847,0.65488,0.68163,0.68318,0.41283,1.26224,1.14868,0.98752,0.006238,0.006238,0.006238
21,170310,1.36351,1.02322,0.98758,0.67034,0.66749,0.68626,0.41739,1.24501,1.15473,0.97904,0.00604,0.00604,0.00604
