epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9917,1.80847,1.36095,1.51926,0.76056,0.69388,0.71612,0.38424,1.62216,1.05669,1.48622,0.00064,0.00064,0.00064
2,156.568,1.47032,0.95831,1.38677,0.80107,0.82181,0.86547,0.4664,1.58363,0.90909,1.44511,0.00124852,0.00124852,0.00124852
3,229.308,1.42914,0.94911,1.33945,0.7913,0.87698,0.88331,0.4897,1.52283,0.91031,1.42844,0.00180477,0.00180477,0.00180477
4,302.572,1.40794,0.86521,1.33933,0.80357,0.85714,0.89432,0.49039,1.5687,0.86776,1.47651,0.0017624,0.0017624,0.0017624
5,400.215,1.39686,0.86594,1.30765,0.86991,0.88435,0.93172,0.50722,1.49526,0.84714,1.42084,0.0016832,0.0016832,0.0016832
6,491.42,1.34949,0.8369,1.28312,0.81541,0.84141,0.8507,0.45435,1.54668,0.88141,1.48135,0.001604,0.001604,0.001604
7,597.624,1.35415,0.82166,1.30593,0.90202,0.80952,0.91291,0.51106,1.51161,0.82036,1.4276,0.0015248,0.0015248,0.0015248
8,693.632,1.29743,0.81672,1.27077,0.82428,0.79775,0.89542,0.4961,1.51887,0.85568,1.44491,0.0014456,0.0014456,0.0014456
9,785.554,1.31319,0.785,1.26057,0.82254,0.82993,0.89682,0.50334,1.5016,0.81698,1.45088,0.0013664,0.0013664,0.0013664
10,893.641,1.33459,0.78633,1.30036,0.87302,0.78231,0.89061,0.50202,1.5154,0.82769,1.45682,0.0012872,0.0012872,0.0012872
11,979.898,1.28657,0.77884,1.24071,0.88943,0.82086,0.9092,0.5081,1.53927,0.83565,1.4805,0.001208,0.001208,0.001208
12,1071.84,1.27517,0.75538,1.24666,0.85983,0.87631,0.93509,0.52568,1.5273,0.79626,1.46103,0.0011288,0.0011288,0.0011288
13,1173.87,1.24305,0.7613,1.23081,0.82744,0.91837,0.91377,0.50573,1.48752,0.78371,1.43652,0.0010496,0.0010496,0.0010496
14,1269.72,1.24762,0.75033,1.25095,0.91548,0.88424,0.93484,0.51383,1.50587,0.78563,1.44321,0.0009704,0.0009704,0.0009704
15,1355.3,1.19477,0.72437,1.19994,0.87023,0.89116,0.9252,0.51951,1.47573,0.8022,1.43607,0.0008912,0.0008912,0.0008912
16,1522.51,1.21055,0.70319,1.25752,0.86114,0.87075,0.92143,0.54475,1.47732,0.76831,1.40686,0.000812,0.000812,0.000812
17,1645.1,1.23845,0.67964,1.24106,0.87315,0.83673,0.92604,0.53359,1.46233,0.75319,1.434,0.0007328,0.0007328,0.0007328
18,1763.55,1.20469,0.68561,1.25312,0.85691,0.89626,0.92261,0.53618,1.44328,0.755,1.40852,0.0006536,0.0006536,0.0006536
19,1890.25,1.18344,0.67717,1.24111,0.85707,0.89796,0.92275,0.53538,1.46185,0.74106,1.41054,0.0005744,0.0005744,0.0005744
20,2009.38,1.11168,0.64548,1.18704,0.88911,0.91156,0.93459,0.54992,1.44925,0.72508,1.41017,0.0004952,0.0004952,0.0004952
21,2127.48,1.10226,0.61982,1.17776,0.89869,0.91156,0.93601,0.53776,1.4551,0.72039,1.42526,0.000416,0.000416,0.000416
22,2239.13,1.13475,0.6396,1.19216,0.90632,0.92517,0.95077,0.53452,1.47725,0.70435,1.43192,0.0003368,0.0003368,0.0003368
23,2355.62,1.12716,0.61348,1.20594,0.90531,0.90476,0.94474,0.53822,1.47749,0.70254,1.4256,0.0002576,0.0002576,0.0002576
24,2476.67,1.11842,0.62216,1.17379,0.91927,0.89796,0.94716,0.54325,1.44888,0.70147,1.41172,0.0001784,0.0001784,0.0001784
25,2586.95,1.1406,0.62007,1.20638,0.90707,0.91837,0.94622,0.54224,1.43411,0.69567,1.40536,9.92e-05,9.92e-05,9.92e-05
