epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.696,2.35532,1.79754,1.55183,0.50229,0.28755,0.27361,0.11105,2.22038,1.40657,1.52055,0.000660606,0.000660606,0.000660606
2,617.878,2.07671,1.45055,1.39951,0.56499,0.43562,0.43462,0.16853,2.1199,1.35988,1.47892,0.00126157,0.00126157,0.00126157
3,931.696,2.03992,1.3991,1.3989,0.54834,0.397,0.39686,0.16268,2.08813,1.33875,1.46286,0.00179654,0.00179654,0.00179654
4,1220.12,1.97924,1.36285,1.36332,0.59646,0.4721,0.45554,0.18947,2.0843,1.31719,1.44702,0.001703,0.001703,0.001703
5,1549.36,1.9876,1.35253,1.35704,0.55399,0.50858,0.49196,0.21224,2.08993,1.29194,1.44452,0.001604,0.001604,0.001604
6,1915.27,1.94627,1.28044,1.3495,0.64977,0.51756,0.53881,0.21478,2.05205,1.24857,1.44418,0.001505,0.001505,0.001505
7,2261.18,1.86111,1.22983,1.3148,0.67905,0.48712,0.50688,0.2163,1.98978,1.20028,1.4035,0.001406,0.001406,0.001406
8,2608.95,1.83486,1.16504,1.30502,0.71172,0.55365,0.6089,0.26885,1.93198,1.12338,1.37637,0.001307,0.001307,0.001307
9,2914.05,1.84627,1.16059,1.29253,0.74417,0.53433,0.59904,0.26221,1.9938,1.1442,1.40976,0.001208,0.001208,0.001208
10,3243.05,1.8101,1.136,1.28292,0.64583,0.56009,0.6052,0.27216,1.92926,1.10405,1.37133,0.001109,0.001109,0.001109
11,3598.04,1.79968,1.13568,1.29636,0.7065,0.52688,0.60271,0.275,1.91227,1.09727,1.36175,0.00101,0.00101,0.00101
12,3907.9,1.78109,1.08263,1.29331,0.67363,0.56867,0.5976,0.26575,1.88911,1.08875,1.35526,0.000911,0.000911,0.000911
13,4196.76,1.74546,1.05348,1.28262,0.67727,0.61696,0.63394,0.28805,1.86087,1.04351,1.34166,0.000812,0.000812,0.000812
14,4462.67,1.73885,1.02959,1.27793,0.72547,0.58155,0.61756,0.28087,1.8861,1.04727,1.36051,0.000713,0.000713,0.000713
15,4727.13,1.69947,1.00643,1.26973,0.69091,0.63948,0.6642,0.28569,1.92986,1.04174,1.3908,0.000614,0.000614,0.000614
16,4993.99,1.65119,1.00259,1.2318,0.69045,0.62703,0.64039,0.28566,1.86388,1.02157,1.35121,0.000515,0.000515,0.000515
17,5256.59,1.67775,0.96239,1.2466,0.69269,0.59657,0.65411,0.29547,1.87898,1.01546,1.34627,0.000416,0.000416,0.000416
18,5527.8,1.63824,0.93593,1.22303,0.77561,0.6073,0.67236,0.30049,1.87263,0.99763,1.34985,0.000317,0.000317,0.000317
19,5784.22,1.62734,0.92216,1.20908,0.74273,0.61951,0.67393,0.30515,1.8615,0.99099,1.34343,0.000218,0.000218,0.000218
20,6020.85,1.59504,0.91248,1.21101,0.7253,0.62017,0.65258,0.29868,1.84656,0.97405,1.33825,0.000119,0.000119,0.000119
