epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.8343,1.94438,1.60872,1.62906,0.67685,0.52381,0.53738,0.2847,1.632,1.12936,1.51649,0.00064,0.00064,0.00064
2,183.95,1.6396,1.10376,1.46401,0.71446,0.55782,0.54744,0.27778,1.64357,1.0435,1.48897,0.00124852,0.00124852,0.00124852
3,265.814,1.55992,1.07581,1.41233,0.87092,0.73437,0.84282,0.44331,1.70789,1.03399,1.56621,0.00180477,0.00180477,0.00180477
4,390.632,1.58105,1.00094,1.43655,0.82573,0.66667,0.73277,0.38751,1.60947,0.95105,1.48572,0.0017624,0.0017624,0.0017624
5,491.541,1.55559,1.02468,1.42231,0.79317,0.78261,0.85732,0.46782,1.54237,0.98413,1.4359,0.0016832,0.0016832,0.0016832
6,591.519,1.54199,0.98134,1.39584,0.84802,0.83508,0.90008,0.45107,1.60023,0.9278,1.47758,0.001604,0.001604,0.001604
7,698.973,1.49359,0.97186,1.39099,0.84761,0.87075,0.89415,0.48418,1.55392,0.91399,1.43794,0.0015248,0.0015248,0.0015248
8,830.467,1.44409,0.95867,1.36397,0.83904,0.81633,0.88139,0.47824,1.60425,0.91104,1.50819,0.0014456,0.0014456,0.0014456
9,995.293,1.42459,0.90701,1.32497,0.85729,0.59184,0.64323,0.34348,1.55243,0.87372,1.46787,0.0013664,0.0013664,0.0013664
10,1186.09,1.43504,0.90568,1.37298,0.79212,0.80357,0.86318,0.47714,1.56538,0.89979,1.46244,0.0012872,0.0012872,0.0012872
11,1340.33,1.40965,0.91926,1.32211,0.84258,0.87075,0.91262,0.50978,1.54456,0.87523,1.45791,0.001208,0.001208,0.001208
12,1435.63,1.39387,0.85226,1.32085,0.90198,0.86395,0.93599,0.51404,1.5272,0.8584,1.43185,0.0011288,0.0011288,0.0011288
13,1538.6,1.38185,0.84501,1.312,0.92809,0.87075,0.94023,0.51793,1.51374,0.83342,1.43583,0.0010496,0.0010496,0.0010496
14,1655.25,1.37402,0.83976,1.31516,0.86261,0.85422,0.88976,0.5011,1.54565,0.82031,1.46492,0.0009704,0.0009704,0.0009704
15,1773.97,1.29873,0.81097,1.26058,0.87632,0.91583,0.94518,0.52201,1.47083,0.83606,1.40925,0.0008912,0.0008912,0.0008912
16,1955.86,1.30249,0.7817,1.30694,0.84076,0.89796,0.91834,0.52838,1.48915,0.81019,1.39117,0.000812,0.000812,0.000812
17,2073.85,1.31955,0.77207,1.29216,0.88324,0.91156,0.93968,0.53953,1.46237,0.78018,1.38395,0.0007328,0.0007328,0.0007328
18,2195.49,1.31731,0.76446,1.32982,0.88464,0.78254,0.82808,0.46785,1.46201,0.79815,1.40578,0.0006536,0.0006536,0.0006536
19,2318.97,1.26066,0.74728,1.28184,0.90545,0.91205,0.95404,0.53556,1.46419,0.76777,1.40181,0.0005744,0.0005744,0.0005744
20,2433.16,1.20142,0.68914,1.24287,0.93255,0.94048,0.96548,0.55877,1.446,0.74063,1.41298,0.0004952,0.0004952,0.0004952
21,2552.74,1.20207,0.67646,1.23599,0.90433,0.93197,0.95714,0.54483,1.4512,0.75261,1.41188,0.000416,0.000416,0.000416
22,2667.92,1.21598,0.6817,1.24002,0.91231,0.93197,0.96163,0.56264,1.44894,0.74638,1.40574,0.0003368,0.0003368,0.0003368
23,2784.65,1.1941,0.66089,1.25047,0.90166,0.93878,0.94537,0.55191,1.46731,0.7333,1.40563,0.0002576,0.0002576,0.0002576
24,2909.03,1.18808,0.66737,1.21084,0.92565,0.93157,0.95674,0.55461,1.44536,0.72321,1.40246,0.0001784,0.0001784,0.0001784
25,3021.89,1.1898,0.67677,1.23506,0.91368,0.93614,0.95367,0.564,1.43203,0.71866,1.3959,9.92e-05,9.92e-05,9.92e-05
